uid,table_name,name,data_type,nullable,description
PO_DISTRIBUTIONS_ALL.QUANTITY_BILLED,PO_DISTRIBUTIONS_ALL,QUANTITY_BILLED,NUMBER,Yes,Quantity invoiced by Oracle Payables against the distribution
PO_DISTRIBUTIONS_ALL.QUANTITY_CANCELLED,PO_DISTRIBUTIONS_ALL,QUANTITY_CANCELLED,NUMBER,Yes,Quantity cancelled for the distribution
PO_DISTRIBUTIONS_ALL.CONSIGNMENT_QUANTITY,PO_DISTRIBUTIONS_ALL,CONSIGNMENT_QUANTITY,NUMBER,Yes,Quantity In Consigned Inventory after deliver transaction
PO_DISTRIBUTIONS_ALL.REQ_HEADER_REFERENCE_NUM,PO_DISTRIBUTIONS_ALL,REQ_HEADER_REFERENCE_NUM,VARCHAR2,Yes,"Identifies the requisition number of the corresponding paper requisition, if you do not autocreate the purchase order from online requisitions."
PO_DISTRIBUTIONS_ALL.REQ_LINE_REFERENCE_NUM,PO_DISTRIBUTIONS_ALL,REQ_LINE_REFERENCE_NUM,VARCHAR2,Yes,"Identifies the requisition line number of the corresponding paper requisition, if you do not autocreate the purchase order from online requisitions."
PO_DISTRIBUTIONS_ALL.REQ_DISTRIBUTION_ID,PO_DISTRIBUTIONS_ALL,REQ_DISTRIBUTION_ID,NUMBER,Yes,Requisition distribution unique identifier. References PO_REQ_DISTRIBUTIONS_ALL.DISTRIBUTION_ID.
PO_DISTRIBUTIONS_ALL.DELIVER_TO_LOCATION_ID,PO_DISTRIBUTIONS_ALL,DELIVER_TO_LOCATION_ID,NUMBER,Yes,Unique identifier for the delivery location. References HR_LOCATIONS_ALL.LOCATION_ID.
PO_DISTRIBUTIONS_ALL.DELIVER_TO_PERSON_ID,PO_DISTRIBUTIONS_ALL,DELIVER_TO_PERSON_ID,NUMBER,Yes,Unique identifier for the requester. References HR_EMPLOYEES.EMPLOYEE_ID.
PO_DISTRIBUTIONS_ALL.RATE_DATE,PO_DISTRIBUTIONS_ALL,RATE_DATE,DATE,Yes,Currency conversion date
PO_DISTRIBUTIONS_ALL.RATE,PO_DISTRIBUTIONS_ALL,RATE,NUMBER,Yes,Currency conversion rate. References GL_DAILY_CONVERSION_RATES_R10.CONVERSION_RATE.
PO_DISTRIBUTIONS_ALL.AMOUNT_BILLED,PO_DISTRIBUTIONS_ALL,AMOUNT_BILLED,NUMBER,Yes,Amount invoiced by Oracle Payables against the distribution
PO_DISTRIBUTIONS_ALL.ACCRUED_FLAG,PO_DISTRIBUTIONS_ALL,ACCRUED_FLAG,VARCHAR2,Yes,Indicates whether the distribution was accrued (received but not yet billed).
PO_DISTRIBUTIONS_ALL.ENCUMBERED_FLAG,PO_DISTRIBUTIONS_ALL,ENCUMBERED_FLAG,VARCHAR2,Yes,Distribution encumbered flag
PO_DISTRIBUTIONS_ALL.ENCUMBERED_AMOUNT,PO_DISTRIBUTIONS_ALL,ENCUMBERED_AMOUNT,NUMBER,Yes,Encumbered amount for distribution
PO_DISTRIBUTIONS_ALL.UNENCUMBERED_QUANTITY,PO_DISTRIBUTIONS_ALL,UNENCUMBERED_QUANTITY,NUMBER,Yes,Quantity unencumbered on the distribution
PO_DISTRIBUTIONS_ALL.UNENCUMBERED_AMOUNT,PO_DISTRIBUTIONS_ALL,UNENCUMBERED_AMOUNT,NUMBER,Yes,Amount unencumbered on the distribution
PO_DISTRIBUTIONS_ALL.FAILED_FUNDS_LOOKUP_CODE,PO_DISTRIBUTIONS_ALL,FAILED_FUNDS_LOOKUP_CODE,VARCHAR2,Yes,Type of budgetary control approval failure
PO_DISTRIBUTIONS_ALL.GL_ENCUMBERED_DATE,PO_DISTRIBUTIONS_ALL,GL_ENCUMBERED_DATE,DATE,Yes,Date the distribution was encumbered
PO_DISTRIBUTIONS_ALL.GL_ENCUMBERED_PERIOD_NAME,PO_DISTRIBUTIONS_ALL,GL_ENCUMBERED_PERIOD_NAME,VARCHAR2,Yes,Period in which the distribution was encumbered
PO_DISTRIBUTIONS_ALL.GL_CANCELLED_DATE,PO_DISTRIBUTIONS_ALL,GL_CANCELLED_DATE,DATE,Yes,Date the distribution was cancelled
PO_DISTRIBUTIONS_ALL.DESTINATION_TYPE_CODE,PO_DISTRIBUTIONS_ALL,DESTINATION_TYPE_CODE,VARCHAR2,Yes,Final destination of the purchased items
PO_DISTRIBUTIONS_ALL.DESTINATION_ORGANIZATION_ID,PO_DISTRIBUTIONS_ALL,DESTINATION_ORGANIZATION_ID,NUMBER,Yes,"Final destination organization unique identifier. References HR_ALL_ORGANIZATION_UNITS.ORGANIZATION_ID. Combined with DESTINATION_SUBINVENTORY, forms a foreign key to INV_SECONDARY_INVENTORIES. Combined with WIP_ENTITY_ID, forms a foreign key to WIP_ENTITIES. Combined with WIP_LINE_ID, forms a foreign key to WIP_LINES. Combined with WIP_ENTITY_ID, WIP_OPERATION_SEQ_NUM, and WIP_REPETITIVE_SCHEDULE_ID, forms a foreign key to WIP_OPERATIONS. Combined with WIP_ENTITY_ID, WIP_OPERATION_SEQ_NUM, WIP_RESOURCE_SEQ_NUM, and WIP_REPETITIVE_SCHEDULE_ID, forms a foreign key to WIP_OPERATION_RESOURCES."
PO_DISTRIBUTIONS_ALL.DESTINATION_SUBINVENTORY,PO_DISTRIBUTIONS_ALL,DESTINATION_SUBINVENTORY,VARCHAR2,Yes,"Subinventory unique identifier for inventory purchases. Combined with DESTINATION_ORGANIZATION_ID, forms a foreign key to INV_SECONDARY_INVENTORIES."
PO_DISTRIBUTIONS_ALL.WIP_ENTITY_ID,PO_DISTRIBUTIONS_ALL,WIP_ENTITY_ID,NUMBER,Yes,"WIP job or repetitive assembly identifier. Combined with DESTINATION_ORGANIZATION_ID, forms a foreign key to WIP_ENTITIES. Combined with DESTINATION_ORGANIZATION_ID, WIP_OPERATION_SEQ_NUM, and WIP_REPETITIVE_SCHEDULE_ID, forms a foreign key to WIP_OPERATIONS. Combined with DESTINATION_ORGANIZATION_ID, WIP_OPERATION_SEQ_NUM, WIP_RESOURCE_SEQ_NUM, and WIP_REPETITIVE_SCHEDULE_ID, forms a foreign key to WIP_OPERATION_RESOURCES."
PO_DISTRIBUTIONS_ALL.WIP_OPERATION_SEQ_NUM,PO_DISTRIBUTIONS_ALL,WIP_OPERATION_SEQ_NUM,NUMBER,Yes,"WIP operation sequence number within a routing. Combined with WIP_ENTITY_ID, DESTINATION_ORGANIZATION_ID, WIP_REPETITIVE_SCHEDULE_ID, forms a foreign key to WIP_OPERATIONS. Combined with WIP_ENTITY_ID, DESTINATION_ORGANIZATION_ID, WIP_RESOURCE_SEQ_NUM, and WIP_REPETITIVE_SCHEDULE_ID, forms a foreign key to WIP_OPERATION_RESOURCES."
PO_DISTRIBUTIONS_ALL.WIP_RESOURCE_SEQ_NUM,PO_DISTRIBUTIONS_ALL,WIP_RESOURCE_SEQ_NUM,NUMBER,Yes,"WIP resource sequence number. Combined with WIP_ENTITY_ID, DESTINATION_ORGANIZATION_ID, WIP_OPERATION_SEQ_NUM, and WIP_REPETITIVE_SCHEDULE_ID, forms a foreign key to WIP_OPERATION_RESOURCES."
PO_DISTRIBUTIONS_ALL.WIP_REPETITIVE_SCHEDULE_ID,PO_DISTRIBUTIONS_ALL,WIP_REPETITIVE_SCHEDULE_ID,NUMBER,Yes,"WIP repetitive schedule identifier. Combined with WIP_ENTITY_ID, DESTINATION_ORGANIZATION_ID, and WIP_OPERATION_SEQ_NUM, forms a foreign key to WIP_OPERATIONS. Combined with WIP_ENTITY_ID, DESTINATION_ORGANIZATION_ID, WIP_OPERATION_SEQ_NUM, and WIP_RESOURCE_SEQ_NUM, forms a foreign key to WIP_OPERATION_RESOURCES."
PO_DISTRIBUTIONS_ALL.WIP_LINE_ID,PO_DISTRIBUTIONS_ALL,WIP_LINE_ID,NUMBER,Yes,"WIP line identifier. Combined with DESTINATION_ORGANIZATION_ID, forms a foreign key to WIP_LINES."
PO_DISTRIBUTIONS_ALL.BOM_RESOURCE_ID,PO_DISTRIBUTIONS_ALL,BOM_RESOURCE_ID,NUMBER,Yes,BOM resource unique identifier. References BOM_RESOURCES.RESOURCE_ID.
PO_DISTRIBUTIONS_ALL.BUDGET_ACCOUNT_ID,PO_DISTRIBUTIONS_ALL,BUDGET_ACCOUNT_ID,NUMBER,Yes,Unique identifier for the General Ledger budget account. References GL_CODE_COMBINATIONS.CODE_COMBINATION_ID.
PO_DISTRIBUTIONS_ALL.ACCRUAL_ACCOUNT_ID,PO_DISTRIBUTIONS_ALL,ACCRUAL_ACCOUNT_ID,NUMBER,Yes,Unique identifier for the General Ledger accrual account. References GL_CODE_COMBINATIONS.CODE_COMBINATION_ID.
PO_DISTRIBUTIONS_ALL.VARIANCE_ACCOUNT_ID,PO_DISTRIBUTIONS_ALL,VARIANCE_ACCOUNT_ID,NUMBER,Yes,Unique identifier for the General Ledger variance account. References GL_CODE_COMBINATIONS.CODE_COMBINATION_ID.
PO_DISTRIBUTIONS_ALL.PREVENT_ENCUMBRANCE_FLAG,PO_DISTRIBUTIONS_ALL,PREVENT_ENCUMBRANCE_FLAG,VARCHAR2,Yes,Indicates whether distribution should be encumbered
PO_DISTRIBUTIONS_ALL.GOVERNMENT_CONTEXT,PO_DISTRIBUTIONS_ALL,GOVERNMENT_CONTEXT,VARCHAR2,Yes,USSGL descriptive flexfield context column
PO_DISTRIBUTIONS_ALL.DESTINATION_CONTEXT,PO_DISTRIBUTIONS_ALL,DESTINATION_CONTEXT,VARCHAR2,Yes,Protected descriptive flexfield context column for destination details
PO_DISTRIBUTIONS_ALL.DISTRIBUTION_NUM,PO_DISTRIBUTIONS_ALL,DISTRIBUTION_NUM,NUMBER,Yes,Distribution number
PO_DISTRIBUTIONS_ALL.SOURCE_DISTRIBUTION_ID,PO_DISTRIBUTIONS_ALL,SOURCE_DISTRIBUTION_ID,NUMBER,Yes,Unique identifier of the planned purchase order distribution that was referenced when creating this scheduled release distribution. References PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID.
PO_DISTRIBUTIONS_ALL.REQUEST_ID,PO_DISTRIBUTIONS_ALL,REQUEST_ID,NUMBER,Yes,Enterprise Service Scheduler: indicates the request ID of the job that created or last updated the row.
PO_DISTRIBUTIONS_ALL.JOB_DEFINITION_NAME,PO_DISTRIBUTIONS_ALL,JOB_DEFINITION_NAME,VARCHAR2,Yes,Enterprise Service Scheduler: indicates the name of the job that created or last updated the row.
PO_DISTRIBUTIONS_ALL.JOB_DEFINITION_PACKAGE,PO_DISTRIBUTIONS_ALL,JOB_DEFINITION_PACKAGE,VARCHAR2,Yes,Enterprise Service Scheduler: indicates the package name of the job that created or last updated the row.
PO_DISTRIBUTIONS_ALL.PROGRAM_NAME,PO_DISTRIBUTIONS_ALL,PROGRAM_NAME,VARCHAR2,Yes,PROGRAM_NAME
PO_DISTRIBUTIONS_ALL.PROGRAM_APP_NAME,PO_DISTRIBUTIONS_ALL,PROGRAM_APP_NAME,VARCHAR2,Yes,PROGRAM_APP_NAME
PO_DISTRIBUTIONS_ALL.GL_CLOSED_DATE,PO_DISTRIBUTIONS_ALL,GL_CLOSED_DATE,DATE,Yes,Date the distribution was final-closed
PO_DISTRIBUTIONS_ALL.ACCRUE_ON_RECEIPT_FLAG,PO_DISTRIBUTIONS_ALL,ACCRUE_ON_RECEIPT_FLAG,VARCHAR2,Yes,Indicates whether items are accrued upon receipt
PO_DISTRIBUTIONS_ALL.SOLDTO_BU_ID,PO_DISTRIBUTIONS_ALL,SOLDTO_BU_ID,NUMBER,Yes,Sold to Business Unit Unique Identifier
PO_DISTRIBUTIONS_ALL.KANBAN_CARD_ID,PO_DISTRIBUTIONS_ALL,KANBAN_CARD_ID,NUMBER,Yes,Primary key for the kanban card. References MTL_KANBAN_CARDS.KANBAN_CARD_ID.
PO_DISTRIBUTIONS_ALL.AWARD_ID,PO_DISTRIBUTIONS_ALL,AWARD_ID,NUMBER,Yes,Award identifier. References GMS_AWARD_DISTRIBUTIONS.AWARD_SET_ID.
PO_DISTRIBUTIONS_ALL.END_ITEM_UNIT_NUMBER,PO_DISTRIBUTIONS_ALL,END_ITEM_UNIT_NUMBER,VARCHAR2,Yes,Project Manufacturing end item unit number
PO_DISTRIBUTIONS_ALL.TAX_RECOVERY_OVERRIDE_FLAG,PO_DISTRIBUTIONS_ALL,TAX_RECOVERY_OVERRIDE_FLAG,VARCHAR2,Yes,Indicator of whether tax recovery should be used
PO_DISTRIBUTIONS_ALL.RECOVERABLE_TAX,PO_DISTRIBUTIONS_ALL,RECOVERABLE_TAX,NUMBER,Yes,The Recoverable exclusive tax amount for the distribution.
PO_DISTRIBUTIONS_ALL.NONRECOVERABLE_TAX,PO_DISTRIBUTIONS_ALL,NONRECOVERABLE_TAX,NUMBER,Yes,The Nonrecoverable exclusive tax amount for the distribution.
PO_DISTRIBUTIONS_ALL.RECOVERABLE_INCLUSIVE_TAX,PO_DISTRIBUTIONS_ALL,RECOVERABLE_INCLUSIVE_TAX,NUMBER,Yes,The portion of the taxes paid that is included in the Distribution Ordered amount and which is recoverable.
PO_DISTRIBUTIONS_ALL.NONRECOVERABLE_INCLUSIVE_TAX,PO_DISTRIBUTIONS_ALL,NONRECOVERABLE_INCLUSIVE_TAX,NUMBER,Yes,The portion of the taxes paid that is included in the Distribution Ordered amount and which is nonrecoverable.
PO_DISTRIBUTIONS_ALL.TAX_EXCLUSIVE_AMOUNT,PO_DISTRIBUTIONS_ALL,TAX_EXCLUSIVE_AMOUNT,NUMBER,Yes,The Purchase order distribution amount that is exclusive of all the taxes.
PO_DISTRIBUTIONS_ALL.RECOVERY_RATE,PO_DISTRIBUTIONS_ALL,RECOVERY_RATE,NUMBER,Yes,Percentage of tax that can be recovered
PO_DISTRIBUTIONS_ALL.OKE_CONTRACT_LINE_ID,PO_DISTRIBUTIONS_ALL,OKE_CONTRACT_LINE_ID,NUMBER,Yes,Line Id associated with a contract. References OKC_K_LINES_B.ID.
PO_DISTRIBUTIONS_ALL.OKE_CONTRACT_DELIVERABLE_ID,PO_DISTRIBUTIONS_ALL,OKE_CONTRACT_DELIVERABLE_ID,NUMBER,Yes,Deliverable Id corresponding to contract. References OKE_K_DELIVERABLES_B.DELIVERABLE_ID.
PO_DISTRIBUTIONS_ALL.AMOUNT_ORDERED,PO_DISTRIBUTIONS_ALL,AMOUNT_ORDERED,NUMBER,Yes,Amount ordered for service lines
PO_DISTRIBUTIONS_ALL.AMOUNT_DELIVERED,PO_DISTRIBUTIONS_ALL,AMOUNT_DELIVERED,NUMBER,Yes,Amount delivered for service lines
PO_DISTRIBUTIONS_ALL.AMOUNT_CANCELLED,PO_DISTRIBUTIONS_ALL,AMOUNT_CANCELLED,NUMBER,Yes,Amount cancelled for service lines
PO_DISTRIBUTIONS_ALL.DISTRIBUTION_TYPE,PO_DISTRIBUTIONS_ALL,DISTRIBUTION_TYPE,VARCHAR2,Yes,#NAME?
PO_DISTRIBUTIONS_ALL.AMOUNT_TO_ENCUMBER,PO_DISTRIBUTIONS_ALL,AMOUNT_TO_ENCUMBER,NUMBER,Yes,#NAME?
PO_DISTRIBUTIONS_ALL.INVOICE_ADJUSTMENT_FLAG,PO_DISTRIBUTIONS_ALL,INVOICE_ADJUSTMENT_FLAG,VARCHAR2,Yes,Flag to indicate invoice adjustment
PO_DISTRIBUTIONS_ALL.DEST_CHARGE_ACCOUNT_ID,PO_DISTRIBUTIONS_ALL,DEST_CHARGE_ACCOUNT_ID,NUMBER,Yes,"Added in Shared Procurement Services Project (FPJ). This is the Charge Account of the Destination OU (DOU), when the DOU is different from the Purchasing OU (POU) and a Transaction Flow exists between the DOU and POU. It is a unique identifier for a General Ledger account and references GL_CODE_COMBINATIONS.code_combination_id."
PO_DISTRIBUTIONS_ALL.DEST_VARIANCE_ACCOUNT_ID,PO_DISTRIBUTIONS_ALL,DEST_VARIANCE_ACCOUNT_ID,NUMBER,Yes,"Added in Shared Procurement Services Project (FPJ). This is the  Variance Account of the DOU, when the DOU is different from the POU and a Transaction Flow exists between the DOU and POU. It is a unique identifier for a General Ledger account and references GL_CODE_COMBINATIONS.code_combination_id."
PO_DISTRIBUTIONS_ALL.QUANTITY_FINANCED,PO_DISTRIBUTIONS_ALL,QUANTITY_FINANCED,NUMBER,Yes,"For Financing Distributions, the number of units which have been pre-paid"
PO_DISTRIBUTIONS_ALL.AMOUNT_FINANCED,PO_DISTRIBUTIONS_ALL,AMOUNT_FINANCED,NUMBER,Yes,"For Advance or Financing Distributions, the amount which has been pre-paid"
PO_DISTRIBUTIONS_ALL.QUANTITY_RECOUPED,PO_DISTRIBUTIONS_ALL,QUANTITY_RECOUPED,NUMBER,Yes,"For Financing Distributions, the number of units for which prepayments have been liquidated"
PO_DISTRIBUTIONS_ALL.AMOUNT_RECOUPED,PO_DISTRIBUTIONS_ALL,AMOUNT_RECOUPED,NUMBER,Yes,"For Advance or Financing Distributions, the amount of the prepayments which has been liquidated"
PO_DISTRIBUTIONS_ALL.RETAINAGE_WITHHELD_AMOUNT,PO_DISTRIBUTIONS_ALL,RETAINAGE_WITHHELD_AMOUNT,NUMBER,Yes,The total amount withheld as Retainage against this Distribution
PO_DISTRIBUTIONS_ALL.RETAINAGE_RELEASED_AMOUNT,PO_DISTRIBUTIONS_ALL,RETAINAGE_RELEASED_AMOUNT,NUMBER,Yes,The amount of Retainage released for this Distribution
PO_DISTRIBUTIONS_ALL.INVOICED_VAL_IN_NTFN,PO_DISTRIBUTIONS_ALL,INVOICED_VAL_IN_NTFN,NUMBER,Yes,Amount or Quantity Billed at the time of sending the Confirm Receipt notification
PO_DISTRIBUTIONS_ALL.INTERFACE_DISTRIBUTION_REF,PO_DISTRIBUTIONS_ALL,INTERFACE_DISTRIBUTION_REF,VARCHAR2,Yes,Interface Distribution Reference
PO_DISTRIBUTIONS_ALL.OBJECT_VERSION_NUMBER,PO_DISTRIBUTIONS_ALL,OBJECT_VERSION_NUMBER,NUMBER,Yes,Used to implement optimistic locking. This number is incremented every time that the row is updated. The number is compared at the start and end of a transaction to detect whether another session has updated the row since it was queried.
PO_DISTRIBUTIONS_ALL.PJC_PROJECT_ID,PO_DISTRIBUTIONS_ALL,PJC_PROJECT_ID,NUMBER,Yes,PJC_PROJECT_ID
PO_DISTRIBUTIONS_ALL.PJC_TASK_ID,PO_DISTRIBUTIONS_ALL,PJC_TASK_ID,NUMBER,Yes,PJC_TASK_ID
PO_DISTRIBUTIONS_ALL.PJC_EXPENDITURE_ITEM_DATE,PO_DISTRIBUTIONS_ALL,PJC_EXPENDITURE_ITEM_DATE,DATE,Yes,PJC_EXPENDITURE_ITEM_DATE
PO_DISTRIBUTIONS_ALL.PJC_ORGANIZATION_ID,PO_DISTRIBUTIONS_ALL,PJC_ORGANIZATION_ID,NUMBER,Yes,PJC_ORGANIZATION_ID
PO_DISTRIBUTIONS_ALL.PJC_EXPENDITURE_TYPE_ID,PO_DISTRIBUTIONS_ALL,PJC_EXPENDITURE_TYPE_ID,NUMBER,Yes,Expenditure type used to build the transaction descriptive flexfield for project-related transaction distributions.
PO_DISTRIBUTIONS_ALL.PJC_CONTEXT_CATEGORY,PO_DISTRIBUTIONS_ALL,PJC_CONTEXT_CATEGORY,VARCHAR2,Yes,Segment used to identify the descriptive flexfield application context for project-related standardized cost collection.
PO_DISTRIBUTIONS_ALL.PJC_BILLABLE_FLAG,PO_DISTRIBUTIONS_ALL,PJC_BILLABLE_FLAG,VARCHAR2,Yes,Flag that indicates if a project-related item is available to be billed to customers.
PO_DISTRIBUTIONS_ALL.PJC_CONTRACT_ID,PO_DISTRIBUTIONS_ALL,PJC_CONTRACT_ID,NUMBER,Yes,Identifier of contract. This attribute is used when Oracle Contract Billing or Oracle Grants Accounting is installed.
PO_DISTRIBUTIONS_ALL.PJC_WORK_TYPE_ID,PO_DISTRIBUTIONS_ALL,PJC_WORK_TYPE_ID,NUMBER,Yes,Identifier for project-related classification of the worked performed.
PO_DISTRIBUTIONS_ALL.PJC_CAPITALIZABLE_FLAG,PO_DISTRIBUTIONS_ALL,PJC_CAPITALIZABLE_FLAG,VARCHAR2,Yes,Flag that indicates if a project-related item is eligible for capitalization.
PO_DISTRIBUTIONS_ALL.PJC_FUNDING_ALLOCATION_ID,PO_DISTRIBUTIONS_ALL,PJC_FUNDING_ALLOCATION_ID,NUMBER,Yes,Specifies the name of the project funding override. This attribute is used when Oracle Contract Billing or Oracle Grants Accounting is installed
PO_DISTRIBUTIONS_ALL.PJC_CONTRACT_LINE_ID,PO_DISTRIBUTIONS_ALL,PJC_CONTRACT_LINE_ID,NUMBER,Yes,Tracks contract line information. This attribute is used when Oracle Contract Billing or Oracle Grants Accounting is installed.
PO_DISTRIBUTIONS_ALL.ORIGINAL_DISTRIBUTION_ID,PO_DISTRIBUTIONS_ALL,ORIGINAL_DISTRIBUTION_ID,NUMBER,Yes,Holds the po_distribution_id of the distribution from which this shipment was copied/split over
PO_DISTRIBUTIONS_ALL.DELIVER_TO_CUST_LOCATION_ID,PO_DISTRIBUTIONS_ALL,DELIVER_TO_CUST_LOCATION_ID,NUMBER,Yes,The final location where goods will be delivered that were previously received from a supplier.
PO_DISTRIBUTIONS_ALL.DELIVER_TO_CUST_ID,PO_DISTRIBUTIONS_ALL,DELIVER_TO_CUST_ID,NUMBER,Yes,Customer to whom merchandise is being delivered.
PO_DISTRIBUTIONS_ALL.DELIVER_TO_CUST_CONTACT_ID,PO_DISTRIBUTIONS_ALL,DELIVER_TO_CUST_CONTACT_ID,NUMBER,Yes,Contact from the company where the good are being delivered.
PO_DISTRIBUTIONS_ALL.SHIPPING_UOM_QTY_DELIVERED,PO_DISTRIBUTIONS_ALL,SHIPPING_UOM_QTY_DELIVERED,NUMBER,Yes,Quantity in shipping unit of measure delivered against the distribution
PO_DISTRIBUTIONS_ALL.SECONDARY_QUANTITY_DELIVERED,PO_DISTRIBUTIONS_ALL,SECONDARY_QUANTITY_DELIVERED,NUMBER,Yes,Quantity in secondary unit of measure delivered against the distribution
PO_DISTRIBUTIONS_ALL.SHIPPING_UOM_QUANTITY,PO_DISTRIBUTIONS_ALL,SHIPPING_UOM_QUANTITY,NUMBER,Yes,Quantity in shipping unit of measure
PO_DISTRIBUTIONS_ALL.SHIPPING_UOM_QUANTITY_CANCELED,PO_DISTRIBUTIONS_ALL,SHIPPING_UOM_QUANTITY_CANCELED,NUMBER,Yes,Quantity in shipping unit of measure canceled up until today
PO_DISTRIBUTIONS_ALL.po_distributions_all,PO_DISTRIBUTIONS_ALL,po_distributions_all,PO_DISTRIBUTION_ID,Yes,Indexes
PO_DISTRIBUTIONS_ALL.Default,PO_DISTRIBUTIONS_ALL,Default,PO_DISTRIBUTION_ID,Yes,
AP_INVOICES_ALL.INVOICE_ID,AP_INVOICES_ALL,INVOICE_ID,NUMBER,Yes,Unique invoice identifier.
AP_INVOICES_ALL.LAST_UPDATE_DATE,AP_INVOICES_ALL,LAST_UPDATE_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the last update of the row.
AP_INVOICES_ALL.LAST_UPDATED_BY,AP_INVOICES_ALL,LAST_UPDATED_BY,VARCHAR2,Yes,Who column: indicates the user who last updated the row.
AP_INVOICES_ALL.VENDOR_ID,AP_INVOICES_ALL,VENDOR_ID,NUMBER,Yes,Invoice supplier identifier.
AP_INVOICES_ALL.INVOICE_NUM,AP_INVOICES_ALL,INVOICE_NUM,VARCHAR2,Yes,Unique number for supplier invoice.
AP_INVOICES_ALL.SET_OF_BOOKS_ID,AP_INVOICES_ALL,SET_OF_BOOKS_ID,NUMBER,Yes,Ledger identifier of the invoice.
AP_INVOICES_ALL.INVOICE_CURRENCY_CODE,AP_INVOICES_ALL,INVOICE_CURRENCY_CODE,VARCHAR2,Yes,Currency code used on the invoice.
AP_INVOICES_ALL.PAYMENT_CURRENCY_CODE,AP_INVOICES_ALL,PAYMENT_CURRENCY_CODE,VARCHAR2,Yes,Currency code of payment (must be same as INVOICE_CURRENCY_CODE or have a fixed rate relationship)
AP_INVOICES_ALL.PAYMENT_CROSS_RATE,AP_INVOICES_ALL,PAYMENT_CROSS_RATE,NUMBER,Yes,Exchange rate between invoice and payment; in Release 11 the value is always 1 unless they are associated fixed-rate currencies
AP_INVOICES_ALL.INVOICE_AMOUNT,AP_INVOICES_ALL,INVOICE_AMOUNT,NUMBER,Yes,Invoice amount in transaction currency.
AP_INVOICES_ALL.VENDOR_SITE_ID,AP_INVOICES_ALL,VENDOR_SITE_ID,NUMBER,Yes,Physical location of the supplier.
AP_INVOICES_ALL.AMOUNT_PAID,AP_INVOICES_ALL,AMOUNT_PAID,NUMBER,Yes,Amount paid against an invoice.
AP_INVOICES_ALL.DISCOUNT_AMOUNT_TAKEN,AP_INVOICES_ALL,DISCOUNT_AMOUNT_TAKEN,NUMBER,Yes,Discount amount on an invoice.
AP_INVOICES_ALL.INVOICE_DATE,AP_INVOICES_ALL,INVOICE_DATE,DATE,Yes,Date when an event will occur or occurred.
AP_INVOICES_ALL.SOURCE,AP_INVOICES_ALL,SOURCE,VARCHAR2,Yes,Feeder system from which an invoice is imported.
AP_INVOICES_ALL.INVOICE_TYPE_LOOKUP_CODE,AP_INVOICES_ALL,INVOICE_TYPE_LOOKUP_CODE,VARCHAR2,Yes,"Invoice category, such as standard, credit memo, or prepayment."
AP_INVOICES_ALL.DESCRIPTION,AP_INVOICES_ALL,DESCRIPTION,VARCHAR2,Yes,Statement that describes the invoice.
AP_INVOICES_ALL.BATCH_ID,AP_INVOICES_ALL,BATCH_ID,NUMBER,Yes,Unique invoice group identifier.
AP_INVOICES_ALL.AMOUNT_APPLICABLE_TO_DISCOUNT,AP_INVOICES_ALL,AMOUNT_APPLICABLE_TO_DISCOUNT,NUMBER,Yes,Amount of invoice applicable to a discount
AP_INVOICES_ALL.TERMS_ID,AP_INVOICES_ALL,TERMS_ID,NUMBER,Yes,Payment terms identifier used on the invoice.
AP_INVOICES_ALL.TERMS_DATE,AP_INVOICES_ALL,TERMS_DATE,DATE,Yes,Date used with payment terms to calculate scheduled payment of an invoice
AP_INVOICES_ALL.PAYMENT_METHOD_LOOKUP_CODE,AP_INVOICES_ALL,PAYMENT_METHOD_LOOKUP_CODE,VARCHAR2,Yes,Indicates the payment method of the invoice.
AP_INVOICES_ALL.PAY_GROUP_LOOKUP_CODE,AP_INVOICES_ALL,PAY_GROUP_LOOKUP_CODE,VARCHAR2,Yes,"Groups a category of suppliers or invoices for single pay run. For example, employees, merchandise, nonmerchandise, government, domestic, and international."
AP_INVOICES_ALL.ACCTS_PAY_CODE_COMBINATION_ID,AP_INVOICES_ALL,ACCTS_PAY_CODE_COMBINATION_ID,NUMBER,Yes,Accounting Flexfield identifier for accounts payable liability account
AP_INVOICES_ALL.PAYMENT_STATUS_FLAG,AP_INVOICES_ALL,PAYMENT_STATUS_FLAG,VARCHAR2,Yes,"Flag that indicates if invoice has been paid (Y, N, or P)"
AP_INVOICES_ALL.CREATION_DATE,AP_INVOICES_ALL,CREATION_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the creation of the row.
AP_INVOICES_ALL.CREATED_BY,AP_INVOICES_ALL,CREATED_BY,VARCHAR2,Yes,Who column: indicates the user who created the row.
AP_INVOICES_ALL.BASE_AMOUNT,AP_INVOICES_ALL,BASE_AMOUNT,NUMBER,Yes,"When the Calculate User Exchange Rate option is enabled and when the exchange rate type is User, the user can enter a value for BASE_AMOUNT so the system can calculate the exchange rate."
AP_INVOICES_ALL.LAST_UPDATE_LOGIN,AP_INVOICES_ALL,LAST_UPDATE_LOGIN,VARCHAR2,Yes,Who column: indicates the session login associated to the user who last updated the row.
